wdt_ID,Domain,Price,Date,DateTime,Domain Length,Venue,Extension,Source,Sold Times,LTO,Hyphen,Number,Pattern,Domain Status
19246,Wieland.co.za,"1,260",2026-01-06,2026-01-06 00:01,7,Afternic,.co.za,Twitter (https://x.com/Karakehayov/status/2008428304504672261),,,,,,
19245,Vera.so,"4,988",2026-01-05,2026-01-05 00:13,4,Spaceship,.so,Twitter (https://x.com/TonyNames/status/2008383290668200165),,,,,,
19244,Lovb.com,"11,000",2026-01-05,2026-01-05 00:12,4,Afternic,.com,Twitter (https://x.com/SoldXyz/status/2008341106938012108),,,,,,
19243,KVRAi.com,"2,500",2026-01-05,2026-01-05 00:11,5,Afternic,.com,Twitter (https://x.com/Domains516390/status/2008337381066224098),,Yes,,,,
19242,InternetStore.com,"8,999",2026-01-05,2026-01-05 00:10,13,Atom,.com,Twitter (https://x.com/greatbizdomain/status/2008324654436434116),,,,,,
19241,GNHR.com,"5,000",2026-01-05,2026-01-05 00:09,4,Afternic,.com,Twitter (https://x.com/4Ldotcom/status/2008249794096189622),,Yes,,,,
19240,SFXD.com,500,2026-01-05,2026-01-05 00:08,4,UnstoppableDomains,.com,Twitter (https://x.com/DomainJames/status/2008248202122989715),,,,,,
19239,Genesis.land,220,2026-01-05,2026-01-05 00:07,7,Spaceship,.land,Twitter (https://x.com/GerardDomains/status/2008233709325918647),,,,,,
19238,Courso.com,"2,988",2026-01-05,2026-01-05 00:06,6,Afternic,.com,Twitter (https://x.com/justdropped/status/2008214733480939686),,,,,,
19237,Arrowhead.ai,"17,995",2026-01-05,2026-01-05 00:05,9,Afternic,.ai,Twitter (https://x.com/billel_medjir/status/2008206990934253697),,,,,,
19236,Haown.com,199,2026-01-05,2026-01-05 00:04,5,Afternic,.com,Twitter (https://x.com/khaled_laifaoui/status/2008195831019745578),,,,,,
19235,Midnight.com,"1,150,000",2026-01-05,2026-01-05 00:03,8,Sedo,.com,Twitter (https://x.com/DNJournal/status/2008170656593072432),,,,,,
19234,LKSS.com,"5,000",2026-01-05,2026-01-05 00:02,4,Afternic,.com,Twitter (https://x.com/4Ldotcom/status/2008075611433279642),,Yes,,,,
19233,HomelessActionScotland.org.uk,"1,000",2026-01-05,2026-01-05 00:01,22,Afternic,.com,Twitter (https://x.com/Karakehayov/status/2008047849787769054),,,,,,
19232,Alphibet.com,"5,995",2026-01-04,2026-01-04 00:11,8,Atom,.com,Twitter (https://x.com/DomainJames/status/2008163921954308213),,,,,,
19231,Pickle.com,"1,200,000",2026-01-04,2026-01-04 00:10,6,Unknown,.com,Twitter (https://x.com/DNdomainname/status/2007654792529883271),,,,,,
19230,DWTD.com,"3,000",2026-01-04,2026-01-04 00:09,4,Afternic,.com,Twitter (https://x.com/4Ldotcom/status/2007566650690736520),,,,,,
19229,Candy.nft,699,2026-01-04,2026-01-04 00:08,5,UnstoppableDomains,.nft,Twitter (https://x.com/RickdotX/status/2008023626403258858),,,,,,
19228,Message.app,"17,000",2026-01-04,2026-01-04 00:07,7,Unknown,.app,Twitter (https://x.com/cultra/status/2007922358133444997),,,,,,
19227,Art-Hall.com,"1,000",2026-01-04,2026-01-04 00:06,8,Afternic,.com,Twitter (https://x.com/DomainBuyNow/status/2007918638339354744),,,Yes,,,
19226,AiFeedback.com,"3,800",2026-01-04,2026-01-04 00:05,10,Afternic,.com,Twitter (https://x.com/bonjourdomain/status/2007869612096942404),,,,,,Redirected
19225,FuneralLivestream.com,500,2026-01-04,2026-01-04 00:04,17,Sedo,.com,Twitter (https://x.com/MAbuqwider/status/2007845930691915911),,,,,,Developed
19224,BuyBreakfast.com,85,2026-01-04,2026-01-04 00:03,12,Afternic,.com,Twitter (https://x.com/OptimalDomain/status/2007812745480093795),,,,,,
19223,DrainAndMain.com,200,2026-01-04,2026-01-04 00:02,12,Afternic,.com,NamePros (https://www.namepros.com/threads/report-completed-domain-name-sales-here.83628/page-1334#post-9532460),,,,,,
19222,FirewoodNewyork.com,100,2026-01-04,2026-01-04 00:01,15,Afternic,.com,Facebook (https://www.facebook.com/photo/?fbid=1967378180579313&set=gm.2188532281674825&idorvanity=193798977814842),,,,,Geo,
19221,Axion.trade,"3,999",2026-01-03,2026-01-03 00:10,5,Afternic,.trade,Twitter (https://x.com/bit_mamba/status/2007622455637221706),2,,,,,Redirected
19220,Llama.org,"25,000",2026-01-03,2026-01-03 00:09,5,Afternic,.org,Twitter (https://x.com/bit_mamba/status/2007622455637221706),,,,,,
19219,SoutheastAssetManagement.com,350,2026-01-03,2026-01-03 00:08,24,Afternic,.com,Twitter (https://x.com/DnDealFlow/status/2007517576390443198),,,,,,
19218,Chat.cl,"2,500",2026-01-03,2026-01-03 00:07,4,Unknown,.cl,Twitter (https://x.com/Karakehayov/status/2007503813301952731),,,,,,
19217,QuantaStore.com,988,2026-01-03,2026-01-03 00:06,11,Afternic,.com,Twitter (https://x.com/ISD_Domains/status/2007417525894779150),,,,,,
19216,REIScout.com,375,2026-01-03,2026-01-03 00:05,8,Afternic,.com,Twitter (https://x.com/Mr_Zero_____/status/2007405643108626463),,,,,,
19215,ZuletaExpress.com,999,2026-01-03,2026-01-03 00:04,13,Afternic,.com,Twitter (https://x.com/Mr_Zero_____/status/2007405643108626463),,,,,,Developed
19214,HySlot.com,"1,200",2026-01-03,2026-01-03 00:03,6,Afternic,.com,NamePros (https://www.namepros.com/threads/report-completed-domain-name-sales-here.83628/page-1334#post-9531874),,,,,,
19213,BakingKitchen.com,19,2026-01-03,2026-01-03 00:02,13,Atom,.com,Facebook (https://www.facebook.com/photo/?fbid=1379288830328141&set=gm.2188046021723451&idorvanity=193798977814842),,,,,,
19212,PhysioBotic.com,30,2026-01-03,2026-01-03 00:01,11,Atom,.com,Facebook (https://www.facebook.com/photo/?fbid=1379288830328141&set=gm.2188046021723451&idorvanity=193798977814842),,,,,,
19211,Sideboard.gg,"1,995",2026-01-02,2026-01-02 00:14,9,Spaceship,.gg,Twitter (https://x.com/synozeer/status/2007281570856751545),,,,,,
19210,RentUniteStates.com,149,2026-01-02,2026-01-02 00:13,15,Atom,.com,Twitter (https://x.com/OptimalDomain/status/2007195974054314178),,,,,Geo,
19209,MagicMoneyAi.com,"1,500",2026-01-02,2026-01-02 00:12,12,Atom,.com,Twitter (https://x.com/theaiwhitepaper/status/2007194276925739136),,,,,,
19208,TheTreeBoss.com,"2,995",2026-01-02,2026-01-02 00:11,11,Afternic,.com,Twitter (https://x.com/domaining/status/2007189758276235472),,,,,,Redirected
19207,CherishFamily.com,750,2026-01-02,2026-01-02 00:10,13,Afternic,.com,Twitter (https://x.com/dignitydomains/status/2007171785280892936),,,,,,
19206,OmegaLLM.com,100,2026-01-02,2026-01-02 00:09,8,Afternic,.com,Twitter (https://x.com/YASSINESEB97953/status/2007126403439833146),,,,,,
19205,Codex-Cli.com,888,2026-01-02,2026-01-02 00:08,9,Afternic,.com,Twitter (https://x.com/ArtenaPro/status/2007100715907547488),,,Yes,,,
19204,MetaWatch.com,"289,995",2026-01-02,2026-01-02 00:07,9,Afternic,.com,Twitter (https://x.com/staspanda/status/2007088011151040701),3,,,,,
19203,Racefy.com,"5,988",2026-01-02,2026-01-02 00:06,6,Afternic,.com,Twitter (https://x.com/justdropped/status/2007069509018956022),,Yes,,,,
19202,PipeWork.com,"7,350",2026-01-02,2026-01-02 00:05,8,Spaceship,.com,Twitter (https://x.com/DigiFortune/status/2007035895468396683),,,,,,
19201,Ektenia.com,264,2026-01-02,2026-01-02 00:04,7,Spaceship,.com,Twitter (https://x.com/ahmedmohamedX49/status/2007019879233450209),,,,,,
19200,CoderAi.io,100,2026-01-02,2026-01-02 00:03,7,Afternic,.io,Facebook (https://www.facebook.com/photo/?fbid=122155319708889236&set=gm.2187002885161098&idorvanity=193798977814842),,,,,,
19199,OakvilleGlass.com,670,2026-01-02,2026-01-02 00:02,13,Afternic,.com,Facebook (https://www.facebook.com/photo?fbid=1200117838936709&set=pcb.2187391901788863),,,,,Geo,
19198,HouseCleaningFortworth.com,130,2026-01-02,2026-01-02 00:01,22,Afternic,.com,Facebook (https://www.facebook.com/photo/?fbid=2930850783752321&set=gm.2187293431798710&idorvanity=193798977814842),,,,,Geo,
19197,Outerspace.fun,200,2026-01-01,2026-01-01 00:14,10,Afternic,.fun,Twitter (https://x.com/sharondomains/status/2006906154631250262),,,,,,Redirected
19196,MeasuredAi.com,"7,488",2026-01-01,2026-01-01 00:13,10,Afternic,.com,Twitter (https://x.com/brandables/status/2006935169778008253),2,,,,,Developed
19195,Ueberall.com,"20,000",2026-01-01,2026-01-01 00:12,8,DomainMarket,.com,Twitter (https://x.com/mikemanndotcom/status/2006900399417209145),2,,,,,
19194,BandarQQ.net,888,2026-01-01,2026-01-01 00:11,8,Afternic,.net,Twitter (https://x.com/sharondomains/status/2006847461961470404),,,,,,
19193,xClub.net,"3,000",2026-01-01,2026-01-01 00:10,5,Afternic,.net,Twitter (https://x.com/AIEQIQ/status/2006775577781395658),,,,,,
19192,ElevationPros.com,"3,000",2026-01-01,2026-01-01 00:09,13,Afternic,.com,Twitter (https://x.com/nikhil_r17/status/2006768937372102923),,,,,,
19191,9999ee.com,288,2026-01-01,2026-01-01 00:08,6,Afternic,.com,Twitter (https://x.com/OnurKocayigit/status/2006761554856083704),,,,Yes,,
19190,Drazzle.com,"3,988",2026-01-01,2026-01-01 00:07,7,Afternic,.com,Twitter (https://x.com/justdropped/status/2006723218774569232),,,,,,
19189,Shinyz.com,500,2026-01-01,2026-01-01 00:06,6,Brandpa,.com,Twitter (https://x.com/fluorik/status/2006681916347666641),,,,,,
19188,BlueflameLab.com,500,2026-01-01,2026-01-01 00:05,12,Afternic,.com,Twitter (https://x.com/hblackmad/status/2006673400941756487F),,,,,,Redirected
19187,DiversifyApp.com,"2,499",2026-01-01,2026-01-01 00:04,12,Afternic,.com,Twitter (https://x.com/MexicanGreek/status/2005299907276820808),,,,,,
19186,GreenJobsNetwork.com,400,2026-01-01,2026-01-01 00:03,16,Afternic,.com,Facebook (https://www.facebook.com/photo/?fbid=2813608262318339&set=gm.2185233652004688&idorvanity=193798977814842),,,,,,Redirected
19185,Central.info,99,2026-01-01,2026-01-01 00:02,7,Afternic,.info,Facebook (https://www.facebook.com/photo/?fbid=1407641500981287&set=gm.2184765025384884&idorvanity=193798977814842),,,,,,
19184,CapriHarbor.com,495,2026-01-01,2026-01-01 00:01,11,Afternic,.com,Facebook (https://www.facebook.com/photo?fbid=1671290517191666&set=pcb.2186632231864830),,,,,,Developed
